NUMBER OF HEADER LINES: 52

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE10_2014_40M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2021-04-21
STATION NAME: SITE10
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE:39.7181 N 
LONGITUDE:86.1436 W 
ALTITUDE:223 m ASL 
NUMBER OF SAMPLING HEIGHTS:1 
SAMPLING HEIGHT:40m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2014-01-01 01:00:00
DATASET END DATE: 2014-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Converted from traceable to the WMO X2007 scale (CO2) to WMO X2019 scale (CO2),  using a linear function suggested by Hall et al. (2020): X2019=1.00079 * X2007 - 0.142 (ppm), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

Hall, B. D., Crotwell, A. M., Kitzis, D. R., Mefford, T., Miller, B. R., Schibig, M. F., & Tans, P. P. (2020). Revision of the WMO/GAW CO 2 calibration scale. Atmospheric Measurement Techniques Discussions, 1-33. DOI: https://doi.org/10.5194/amt-2020-408

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The current INFLUX observation network includes twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std_co2(ppm) unc_co2(ppm) CH4(ppb) std_ch4(ppb) unc_ch4(ppb) CO(ppb) std_co(ppb) unc_co(ppb) #pts Flag H2O(percent)
SITE10 CFADS2155 40 1.0400 1.0810 2014 001 01 418.84 4.55 NaN 2004.5 24.95 NaN NaN NaN NaN 1089 0 -999.000
SITE10 CFADS2155 40 1.0810 1.1230 2014 001 02 412.04 1.24 NaN 1975.9 6.01 NaN NaN NaN NaN 1090 0 -999.000
SITE10 CFADS2155 40 1.1230 1.1650 2014 001 03 410.70 1.38 NaN 1985.6 38.93 NaN NaN NaN NaN 1088 0 -999.000
SITE10 CFADS2155 40 1.1650 1.2060 2014 001 04 416.07 1.22 NaN 2038.0 30.34 NaN NaN NaN NaN 1090 0 -999.000
SITE10 CFADS2155 40 1.2060 1.2480 2014 001 05 415.71 1.31 NaN 2058.0 27.28 NaN NaN NaN NaN 1091 0 -999.000
SITE10 CFADS2155 40 1.2480 1.2900 2014 001 06 414.34 1.39 NaN 2015.7 6.79 NaN NaN NaN NaN 1097 0 -999.000
SITE10 CFADS2155 40 1.2900 1.3310 2014 001 07 417.16 1.38 NaN 2023.8 6.43 NaN NaN NaN NaN 915 0 -999.000
SITE10 CFADS2155 40 1.3310 1.3730 2014 001 08 420.04 1.30 NaN 2039.1 10.19 NaN NaN NaN NaN 1100 0 -999.000
SITE10 CFADS2155 40 1.3730 1.4150 2014 001 09 418.05 1.62 NaN 2036.7 7.57 NaN NaN NaN NaN 1103 0 -999.000
SITE10 CFADS2155 40 1.4150 1.4560 2014 001 10 418.82 1.71 NaN 2060.1 7.64 NaN NaN NaN NaN 1102 0 -999.000
SITE10 CFADS2155 40 1.4560 1.4980 2014 001 11 416.93 0.83 NaN 2056.2 5.67 NaN NaN NaN NaN 1102 0 -999.000
SITE10 CFADS2155 40 1.4980 1.5400 2014 001 12 421.35 1.71 NaN 2080.9 9.60 NaN NaN NaN NaN 1100 0 -999.000
SITE10 CFADS2155 40 1.5400 1.5810 2014 001 13 421.08 1.56 NaN 2088.0 10.76 NaN NaN NaN NaN 1103 0 -999.000
SITE10 CFADS2155 40 1.5810 1.6230 2014 001 14 421.71 1.86 NaN 2097.4 18.13 NaN NaN NaN NaN 1102 0 -999.000
SITE10 CFADS2155 40 1.6230 1.6650 2014 001 15 418.18 0.70 NaN 2059.8 12.93 NaN NaN NaN NaN 1098 0 -999.000
SITE10 CFADS2155 40 1.6650 1.7060 2014 001 16 415.49 1.27 NaN 2025.1 11.96 NaN NaN NaN NaN 1095 0 -999.000
SITE10 CFADS2155 40 1.7060 1.7480 2014 001 17 414.41 0.66 NaN 2011.4 3.60 NaN NaN NaN NaN 1090 0 -999.000
SITE10 CFADS2155 40 1.7480 1.7900 2014 001 18 413.39 0.49 NaN 2003.8 3.62 NaN NaN NaN NaN 1089 0 -999.000
SITE10 CFADS2155 40 1.7900 1.8310 2014 001 19 415.63 3.76 NaN 2000.2 5.41 NaN NaN NaN NaN 1086 0 -999.000
SITE10 CFADS2155 40 1.8310 1.8730 2014 001 20 420.75 4.57 NaN 2020.5 17.74 NaN NaN NaN NaN 1084 0 -999.000
SITE10 CFADS2155 40 1.8730 1.9150 2014 001 21 419.98 2.76 NaN 2056.1 11.46 NaN NaN NaN NaN 1084 0 -999.000
SITE10 CFADS2155 40 1.9150 1.9560 2014 001 22 421.64 1.26 NaN 2057.2 13.27 NaN NaN NaN NaN 1085 0 -999.000
SITE10 CFADS2155 40 1.9560 1.9980 2014 001 23 428.49 4.05 NaN 2092.0 20.50 NaN NaN NaN NaN 1082 0 -999.000
SITE10 CFADS2155 40 1.9980 2.0400 2014 002 00 423.36 0.66 NaN 2093.7 4.14 NaN NaN NaN NaN 1083 0 -999.000
SITE10 CFADS2155 40 2.0400 2.0810 2014 002 01 421.97 1.06 NaN 2086.1 6.96 NaN NaN NaN NaN 1087 0 -999.000
SITE10 CFADS2155 40 2.0810 2.1230 2014 002 02 421.53 1.10 NaN 2078.2 6.98 NaN NaN NaN NaN 1089 0 -999.000
SITE10 CFADS2155 40 2.1230 2.1650 2014 002 03 418.55 1.22 NaN 2052.1 9.10 NaN NaN NaN NaN 1089 0 -999.000
SITE10 CFADS2155 40 2.1650 2.2060 2014 002 04 417.51 0.72 NaN 2047.8 3.58 NaN NaN NaN NaN 1089 0 -999.000
SITE10 CFADS2155 40 2.2060 2.2480 2014 002 05 418.35 0.61 NaN 2048.0 4.39 NaN NaN NaN NaN 1092 0 -999.000
SITE10 CFADS2155 40 2.2480 2.2850 2014 002 06 419.12 1.01 NaN 2049.6 3.90 NaN NaN NaN NaN 972 0 -999.000
SITE10 CFADS2155 40 2.2920 2.3310 2014 002 07 419.61 0.66 NaN 2058.6 4.91 NaN NaN NaN NaN 1033 0 -999.000
SITE10 CFADS2155 40 2.3310 2.3730 2014 002 08 418.78 0.88 NaN 2043.3 6.89 NaN NaN NaN NaN 1099 0 -999.000
SITE10 CFADS2155 40 2.3730 2.4150 2014 002 09 418.04 1.24 NaN 2032.9 4.87 NaN NaN NaN NaN 1099 0 -999.000
SITE10 CFADS2155 40 2.4150 2.4560 2014 002 10 416.60 1.00 NaN 2022.5 9.48 NaN NaN NaN NaN 1102 0 -999.000
SITE10 CFADS2155 40 2.4560 2.4980 2014 002 11 416.35 1.06 NaN 2048.1 11.75 NaN NaN NaN NaN 1098 0 -999.000
