NUMBER OF HEADER LINES: 52

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE10_2020_40M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2021-04-21
STATION NAME: site10
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE:39.7181 N 
LONGITUDE:86.1436 W 
ALTITUDE:223 m ASL 
NUMBER OF SAMPLING HEIGHTS:1 
SAMPLING HEIGHT:40m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2020-01-01 02:00:00
DATASET END DATE: 2020-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Converted from traceable to the WMO X2007 scale (CO2) to WMO X2019 scale (CO2),  using a linear function suggested by Hall et al. (2020): X2019=1.00079 * X2007 - 0.142 (ppm), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

Hall, B. D., Crotwell, A. M., Kitzis, D. R., Mefford, T., Miller, B. R., Schibig, M. F., & Tans, P. P. (2020). Revision of the WMO/GAW CO 2 calibration scale. Atmospheric Measurement Techniques Discussions, 1-33. DOI: https://doi.org/10.5194/amt-2020-408

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The current INFLUX observation network includes twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std_co2(ppm) unc_co2(ppm) CH4(ppb) std_ch4(ppb) unc_ch4(ppb) CO(ppb) std_co(ppb) unc_co(ppb) #pts Flag H2O(percent)
site10 CFADS2234 40 1.0810 1.1230 2020 001 02 420.87 0.46 NaN 2052.2 41.03 NaN NaN NaN NaN 903 1 0.030
site10 CFADS2234 40 1.1230 1.1650 2020 001 03 420.75 0.43 NaN 2075.0 38.41 NaN NaN NaN NaN 1083 1 0.030
site10 CFADS2234 40 1.1650 1.2060 2020 001 04 421.02 0.39 NaN 2112.2 37.10 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 1.2060 1.2480 2020 001 05 421.26 0.41 NaN 2121.9 52.10 NaN NaN NaN NaN 1081 1 0.030
site10 CFADS2234 40 1.2480 1.2900 2020 001 06 421.48 0.57 NaN 2134.1 69.13 NaN NaN NaN NaN 1080 1 0.030
site10 CFADS2234 40 1.2900 1.3310 2020 001 07 420.89 0.40 NaN 2113.4 75.94 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 1.3310 1.3730 2020 001 08 420.96 0.36 NaN 2076.5 47.86 NaN NaN NaN NaN 1081 1 0.030
site10 CFADS2234 40 1.3730 1.4150 2020 001 09 421.04 0.41 NaN 2037.1 50.52 NaN NaN NaN NaN 1081 1 0.030
site10 CFADS2234 40 1.4150 1.4560 2020 001 10 421.56 0.43 NaN 1992.4 5.63 NaN NaN NaN NaN 1081 1 0.030
site10 CFADS2234 40 1.4560 1.4980 2020 001 11 421.55 0.38 NaN 2022.1 57.21 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 1.4980 1.5400 2020 001 12 422.27 0.47 NaN 1989.0 2.49 NaN NaN NaN NaN 1080 1 0.030
site10 CFADS2234 40 1.5400 1.5810 2020 001 13 424.85 0.98 NaN 2003.3 7.89 NaN NaN NaN NaN 1079 1 0.030
site10 CFADS2234 40 1.5810 1.6230 2020 001 14 425.71 0.71 NaN 2019.5 2.73 NaN NaN NaN NaN 1077 1 0.030
site10 CFADS2234 40 1.6230 1.6650 2020 001 15 424.57 0.55 NaN 2025.3 7.63 NaN NaN NaN NaN 1080 1 0.030
site10 CFADS2234 40 1.6650 1.7060 2020 001 16 425.49 1.19 NaN 2020.6 8.23 NaN NaN NaN NaN 1081 1 0.030
site10 CFADS2234 40 1.7060 1.7480 2020 001 17 424.58 0.97 NaN 2000.4 5.64 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 1.7480 1.7900 2020 001 18 422.20 0.58 NaN 1990.4 1.51 NaN NaN NaN NaN 1086 1 0.030
site10 CFADS2234 40 1.7900 1.8310 2020 001 19 420.77 0.71 NaN 1984.2 2.64 NaN NaN NaN NaN 1086 1 0.030
site10 CFADS2234 40 1.8310 1.8730 2020 001 20 420.01 0.48 NaN 1987.5 6.20 NaN NaN NaN NaN 1084 1 0.030
site10 CFADS2234 40 1.8730 1.9150 2020 001 21 420.82 0.56 NaN 2014.6 5.36 NaN NaN NaN NaN 1078 1 0.040
site10 CFADS2234 40 1.9150 1.9560 2020 001 22 422.01 0.69 NaN 2011.9 6.86 NaN NaN NaN NaN 1077 1 0.040
site10 CFADS2234 40 1.9560 1.9980 2020 001 23 422.71 0.59 NaN 2008.3 3.08 NaN NaN NaN NaN 1081 1 0.040
site10 CFADS2234 40 1.9980 2.0400 2020 002 00 423.17 0.47 NaN 2009.6 2.95 NaN NaN NaN NaN 1084 1 0.030
site10 CFADS2234 40 2.0400 2.0810 2020 002 01 422.40 0.36 NaN 2006.8 1.84 NaN NaN NaN NaN 902 1 0.030
site10 CFADS2234 40 2.0810 2.1230 2020 002 02 422.85 0.51 NaN 2014.3 3.13 NaN NaN NaN NaN 1083 1 0.030
site10 CFADS2234 40 2.1230 2.1650 2020 002 03 422.35 0.37 NaN 2011.3 2.80 NaN NaN NaN NaN 1083 1 0.030
site10 CFADS2234 40 2.1650 2.2060 2020 002 04 421.91 0.32 NaN 2007.2 2.18 NaN NaN NaN NaN 1083 1 0.030
site10 CFADS2234 40 2.2060 2.2480 2020 002 05 421.73 0.32 NaN 2003.2 1.79 NaN NaN NaN NaN 1084 1 0.030
site10 CFADS2234 40 2.2480 2.2900 2020 002 06 421.94 0.29 NaN 2000.2 1.86 NaN NaN NaN NaN 1083 1 0.030
site10 CFADS2234 40 2.2900 2.3310 2020 002 07 421.99 0.26 NaN 1997.5 1.23 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 2.3310 2.3730 2020 002 08 422.14 0.39 NaN 1997.5 2.12 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 2.3730 2.4150 2020 002 09 422.78 0.43 NaN 1999.3 3.43 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 2.4150 2.4560 2020 002 10 422.55 0.36 NaN 1994.2 1.55 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 2.4560 2.4980 2020 002 11 422.73 0.59 NaN 1995.3 2.13 NaN NaN NaN NaN 1082 1 0.030
site10 CFADS2234 40 2.4980 2.5400 2020 002 12 423.72 0.77 NaN 2001.9 3.21 NaN NaN NaN NaN 1081 1 0.030
site10 CFADS2234 40 2.5400 2.5810 2020 002 13 424.90 0.70 NaN 2008.1 2.79 NaN NaN NaN NaN 1081 1 0.030
