NUMBER OF HEADER LINES: 52

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE14_2018_76M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2021-04-21
STATION NAME: site14
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE: 39.9971 N
LONGITUDE:86.7396 W
ALTITUDE:264 m ASL 
NUMBER OF SAMPLING HEIGHTS:1 
SAMPLING HEIGHT:76m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2018-01-01 02:00:00
DATASET END DATE: 2018-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Converted from traceable to the WMO X2007 scale (CO2) to WMO X2019 scale (CO2),  using a linear function suggested by Hall et al. (2020): X2019=1.00079 * X2007 - 0.142 (ppm), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

Hall, B. D., Crotwell, A. M., Kitzis, D. R., Mefford, T., Miller, B. R., Schibig, M. F., & Tans, P. P. (2020). Revision of the WMO/GAW CO 2 calibration scale. Atmospheric Measurement Techniques Discussions, 1-33. DOI: https://doi.org/10.5194/amt-2020-408

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The current INFLUX observation network includes twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std_co2(ppm) unc_co2(ppm) CH4(ppb) std_ch4(ppb) unc_ch4(ppb) CO(ppb) std_co(ppb) unc_co(ppb) #pts Flag H2O(percent)
site14 CFKADS2025 76 1.0800 1.1220 2018 001 02 422.49 0.30 NaN 2043.1 3.18 NaN 165.4 5.2 NaN 2112 1 0.020
site14 CFKADS2025 76 1.1220 1.1630 2018 001 03 422.53 0.19 NaN 2038.4 1.11 NaN 167.7 5.1 NaN 2109 1 0.020
site14 CFKADS2025 76 1.1630 1.1900 2018 001 04 422.66 0.17 NaN 2034.5 1.33 NaN 166.7 5.1 NaN 1363 1 0.020
site14 CFKADS2025 76 1.2070 1.2470 2018 001 05 420.81 0.40 NaN 2023.8 2.12 NaN 159.1 5.3 NaN 2012 1 0.020
site14 CFKADS2025 76 1.2470 1.2880 2018 001 06 420.65 0.11 NaN 2026.9 1.42 NaN 157.2 5.2 NaN 2071 1 0.020
site14 CFKADS2025 76 1.2880 1.3300 2018 001 07 420.05 0.43 NaN 2017.6 4.19 NaN 155.4 5.7 NaN 2093 1 0.010
site14 CFKADS2025 76 1.3300 1.3720 2018 001 08 419.74 0.52 NaN 2020.9 9.12 NaN 151.8 5.2 NaN 2104 1 0.010
site14 CFKADS2025 76 1.3720 1.4130 2018 001 09 421.64 0.23 NaN 2036.7 1.85 NaN 156.7 5.0 NaN 2106 1 0.010
site14 CFKADS2025 76 1.4130 1.4550 2018 001 10 421.01 0.24 NaN 2039.9 2.04 NaN 153.6 4.9 NaN 2095 1 0.010
site14 CFKADS2025 76 1.4550 1.4970 2018 001 11 420.60 0.14 NaN 2031.0 4.96 NaN 152.9 5.2 NaN 2055 1 0.010
site14 CFKADS2025 76 1.4970 1.5380 2018 001 12 420.08 0.14 NaN 2016.7 3.06 NaN 151.9 5.0 NaN 2075 1 0.010
site14 CFKADS2025 76 1.5380 1.5800 2018 001 13 420.43 0.29 NaN 2012.6 1.25 NaN 152.2 5.2 NaN 2080 1 0.010
site14 CFKADS2025 76 1.5800 1.6220 2018 001 14 420.76 0.30 NaN 2008.2 2.31 NaN 155.9 5.2 NaN 2081 1 0.020
site14 CFKADS2025 76 1.6220 1.6630 2018 001 15 420.26 0.15 NaN 2005.8 0.81 NaN 157.0 5.2 NaN 2090 1 0.020
site14 CFKADS2025 76 1.6630 1.7050 2018 001 16 420.18 0.20 NaN 2004.6 0.72 NaN 161.3 6.3 NaN 2110 1 0.020
site14 CFKADS2025 76 1.7050 1.7470 2018 001 17 419.61 0.42 NaN 2002.8 2.18 NaN 160.7 5.7 NaN 2111 1 0.020
site14 CFKADS2025 76 1.7470 1.7880 2018 001 18 417.97 0.34 NaN 1992.3 1.83 NaN 152.8 5.2 NaN 2110 1 0.020
site14 CFKADS2025 76 1.7880 1.8300 2018 001 19 417.05 0.29 NaN 1987.5 2.92 NaN 149.8 5.5 NaN 2110 1 0.020
site14 CFKADS2025 76 1.8300 1.8720 2018 001 20 417.08 0.32 NaN 1989.6 2.68 NaN 149.2 5.1 NaN 2107 1 0.020
site14 CFKADS2025 76 1.8720 1.9130 2018 001 21 417.51 0.28 NaN 1999.8 2.67 NaN 150.5 5.1 NaN 2109 1 0.020
site14 CFKADS2025 76 1.9130 1.9550 2018 001 22 418.15 0.15 NaN 1997.5 0.92 NaN 153.0 5.2 NaN 2099 1 0.020
site14 CFKADS2025 76 1.9550 1.9970 2018 001 23 419.89 0.66 NaN 2001.7 2.54 NaN 159.2 5.7 NaN 2101 1 0.020
site14 CFKADS2025 76 1.9970 2.0380 2018 002 00 421.00 0.26 NaN 2003.6 1.51 NaN 163.1 5.3 NaN 2092 1 0.020
site14 CFKADS2025 76 2.0380 2.0800 2018 002 01 420.94 0.10 NaN 2003.7 0.67 NaN 161.5 5.5 NaN 2086 1 0.020
site14 CFKADS2025 76 2.0800 2.1220 2018 002 02 420.71 0.08 NaN 1997.7 1.36 NaN 153.7 5.6 NaN 2077 1 0.020
site14 CFKADS2025 76 2.1220 2.1550 2018 002 03 421.17 0.21 NaN 2000.8 2.61 NaN 155.4 5.8 NaN 1683 1 0.020
site14 CFKADS2025 76 2.1720 2.2050 2018 002 04 421.18 0.04 NaN 1999.9 0.71 NaN 154.0 5.0 NaN 1626 1 0.020
site14 CFKADS2025 76 2.2050 2.2470 2018 002 05 421.17 0.13 NaN 2005.7 2.96 NaN 152.6 5.0 NaN 2064 1 0.010
site14 CFKADS2025 76 2.2470 2.2880 2018 002 06 421.33 0.19 NaN 2018.0 6.37 NaN 152.7 5.1 NaN 2079 1 0.010
site14 CFKADS2025 76 2.2880 2.3300 2018 002 07 421.22 0.14 NaN 2023.7 3.33 NaN 155.2 5.2 NaN 2084 1 0.010
site14 CFKADS2025 76 2.3300 2.3720 2018 002 08 421.89 0.37 NaN 2023.7 3.04 NaN 155.8 5.2 NaN 2083 1 0.010
site14 CFKADS2025 76 2.3720 2.4130 2018 002 09 421.74 0.08 NaN 2028.0 1.67 NaN 156.2 5.1 NaN 2090 1 0.010
site14 CFKADS2025 76 2.4130 2.4550 2018 002 10 422.14 0.30 NaN 2031.5 3.27 NaN 158.8 5.5 NaN 2094 1 0.010
site14 CFKADS2025 76 2.4550 2.4970 2018 002 11 423.47 0.98 NaN 2053.3 11.04 NaN 172.0 9.0 NaN 2094 1 0.010
