NUMBER OF HEADER LINES: 52

TITLE: In-situ tower greenhouse gas data (The Pennsylvania State University) 
PROJECT: Indianapolis flux project (INFLUX) 
FUNDING: National Institute of Standards and Technology (NIST)
FILE NAME: PSU_INFLUX_INSITU_SITE15_2020_75M_num.dat
DATA FORMAT: .dat
DATA VERSION: 2021-04-21
STATION NAME: site15
OBSERVATION CATEGORY:  Air sampling observation
COUNTRY/TERRITORY:  USA
CONTRIBUTOR:  PSU
LATITUDE: 39.6376 N
LONGITUDE: 86.4779 W
ALTITUDE: 258 m ASL 
NUMBER OF SAMPLING HEIGHTS:1 
SAMPLING HEIGHT: 75m AGL
CONTACT POINT:  nmiles@psu.edu
WEBSITE:  www.influx.psu.edu
PARAMETER:CO2/CH4/CO
DATASET START DATE: 2020-06-08 01:00:00
DATASET END DATE: 2020-12-31 23:59:59
TIME INTERVAL:  hourly averages
TIME INTERVAL COMMENT: The time stamps represent the hourly average of that hour, e.g., 1:00:00AM is the average from 1:00:00AM to 1:59:59AM
MEASUREMENT UNIT:ppm (CO2), ppb (CH4), ppb (CO)
MEASUREMENT METHOD:  Cavity Ring Down Spectroscopy (Picarro, Inc.) 
SAMPLING TYPE: in situ
TIME ZONE: EST; data reported in UTC 
REFERENCE SCALE: Converted from traceable to the WMO X2007 scale (CO2) to WMO X2019 scale (CO2),  using a linear function suggested by Hall et al. (2020): X2019=1.00079 * X2007 - 0.142 (ppm), WMO X2004A scale (CH4), WMO CO_X2014 scale (CO) 

FAIR USE POLICY:  We reserve the right to make corrections to the data based on scientific grounds, e.g., recalibration of standard gases or discovery of operational issues not known at the time of the release.  If the data are obtained for potential use in a publication or presentation, kindly inform Penn State personnel (co2data@meteo.psu.edu) of the nature of this work.

CITATIONS:

Richardson SJ, Miles NL, Davis KJ, Lauvaux T, Martins DK, Turnbull JC, et al. Tower measurement network of in-situ CO2, CH4, and CO in support of the Indianapolis FLUX (INFLUX) Experiment. Elem Sci Anth. 2017;5:59. DOI: http://doi.org/10.1525/elementa.140

Miles NL, Richardson  SJ, Davis KJ, and Haupt BJ, 2017. In-situ tower atmospheric measurements of carbon dioxide, methane and carbon monoxide mole fraction for the Indianapolis Flux (INFLUX) project, Indianapolis, IN, USA. Data set. Available on-line [http://datacommons.psu.edu] from The Pennsylvania State University Data Commons, University Park, Pennsylvania, USA. http://dx.doi.org/10.18113/D37G6P. 

Hall, B. D., Crotwell, A. M., Kitzis, D. R., Mefford, T., Miller, B. R., Schibig, M. F., & Tans, P. P. (2020). Revision of the WMO/GAW CO 2 calibration scale. Atmospheric Measurement Techniques Discussions, 1-33. DOI: https://doi.org/10.5194/amt-2020-408

COMMENTS: Measurements are made with Picarro Inc. wavelength-scanned cavity ring down spectroscopic instruments located at the base of communication towers. Depending on instrument repairs and availability, CH4 and CO may be reported, but all instruments report CO2. Hourly averages are reported, with the minimum and maximum time included in the average indicated. The standard deviation within the averaging window is also reported. All sites measuring CO are dried using a Nafion dryer.  As of late May 2013, all sites are dried.  A zero-offset correction was applied daily, using data collected from 1 or 2 tertiary standards traceable to the NOAA scale. Round robin tests using 3-4 NOAA-calibrated tanks were conducted every 1-2 years.  For further details, see Richardson et al.(citation above).

ABSTRACT: The Indianapolis Flux Experiment (INFLUX) was designed to develop and evaluate methods for the measurement and modeling of greenhouse gas fluxes from urban environments. Determination of greenhouse gas fluxes and uncertainty bounds is essential for the evaluation of the effectiveness of mitigation strategies.  The current INFLUX observation network includes twelve in-situ tower-based, continuous measurements of CO2, 5 of CO, 9 of CH4, flask sampling of 14CO2 and other trace gases, and periodic aircraft sampling of greenhouse gases and meteorological conditions. A total carbon column observing network (TCCON) column remote sensing station was deployed Aug - Dec 2012. Four of the tower sites include eddy covariance and radiative flux measurements, and a scanning Doppler lidar is located near Site 02.  The data from the towers, TCCON, and aircraft measurements are being used in an inverse-modeling approach to yield estimates of the urban area flux at 1 km2 resolution. Additionally, very high space/time resolution estimates of fossil fuel carbon emissions (Hestia project) offer state-of-the-art "bottom up" emissions estimates for the city and its surroundings.

FLAGS: 1 indicates no known problems. 0 indicates that the data is unavailable or not recommended for use. 9 indicates that there were no known instrument problems, but data is unrealistic compared to other sites and is not recommended for use.  

COLUMN HEADERS: Location code, Instr serial number, Height (m AGL), Time (minimum fractional day of year of the measurement, UTC), Time (maximum fractional day of year of the measurement, UTC), Year, DOY (day of year), Hour (UTC), CO2 (dry mole fraction, ppm), Standard Deviation (during measurement, ppm), Instrument Uncertainty (ppm), CH4(dry mole fraction, ppb), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppm), CO (dry mole fraction, ppm), Standard Deviation (during measurement, ppb), Instrument Uncertainty (ppb), User Flag, H2O(percent) 

STANDARD DEVIATION: The atmospheric variability is characterized by the standard deviation during the reported measurement period.

UNCERTAINTY: In lieu of a full assessment of the total uncertainty as it changes in time, the instrument uncertainty is characterized by the standard deviation of the reference gas error for a 31-day period (including 15 days prior to the measurement day and 15 days following the measurement day). 

Site Instr z(mAGL) Time(min) Time(max) Year DOY Hour CO2(ppm) std_co2(ppm) unc_co2(ppm) CH4(ppb) std_ch4(ppb) unc_ch4(ppb) CO(ppb) std_co(ppb) unc_co(ppb) #pts Flag H2O(percent)
site15 CKADS2024 75 160.0420 160.0830 2020 160 01 413.90 0.57 NaN NaN NaN NaN 145.8 7.1 NaN 720 1 0.050
site15 CKADS2024 75 160.0830 160.1250 2020 160 02 416.66 1.44 NaN NaN NaN NaN 154.6 7.2 NaN 721 1 0.050
site15 CKADS2024 75 160.1250 160.1670 2020 160 03 419.74 1.18 NaN NaN NaN NaN 153.5 8.0 NaN 720 1 0.050
site15 CKADS2024 75 160.1670 160.2080 2020 160 04 422.57 0.97 NaN NaN NaN NaN 155.6 8.0 NaN 723 1 0.050
site15 CKADS2024 75 160.2080 160.2500 2020 160 05 427.43 2.93 NaN NaN NaN NaN 158.6 7.5 NaN 722 1 0.050
site15 CKADS2024 75 160.2500 160.2920 2020 160 06 430.58 2.62 NaN NaN NaN NaN 156.7 6.8 NaN 719 1 0.050
site15 CKADS2024 75 160.2920 160.3330 2020 160 07 439.90 2.96 NaN NaN NaN NaN 160.4 11.7 NaN 720 1 0.050
site15 CKADS2024 75 160.3330 160.3750 2020 160 08 444.19 2.08 NaN NaN NaN NaN 156.5 11.5 NaN 719 1 0.050
site15 CKADS2024 75 160.3750 160.4170 2020 160 09 439.58 1.16 NaN NaN NaN NaN 158.8 7.2 NaN 717 1 0.050
site15 CKADS2024 75 160.4170 160.4580 2020 160 10 441.20 1.62 NaN NaN NaN NaN 151.9 6.6 NaN 707 1 0.050
site15 CKADS2024 75 160.4580 160.5000 2020 160 11 440.04 1.56 NaN NaN NaN NaN 153.6 6.8 NaN 700 1 0.050
site15 CKADS2024 75 160.5000 160.5420 2020 160 12 432.41 2.63 NaN NaN NaN NaN 150.9 6.9 NaN 716 1 0.050
site15 CKADS2024 75 160.5420 160.5830 2020 160 13 424.54 2.28 NaN NaN NaN NaN 144.3 6.7 NaN 708 1 0.060
site15 CKADS2024 75 160.5830 160.6250 2020 160 14 418.62 1.60 NaN NaN NaN NaN 139.7 6.9 NaN 717 1 0.050
site15 CKADS2024 75 160.6250 160.6670 2020 160 15 415.58 0.44 NaN NaN NaN NaN 141.1 6.2 NaN 573 1 0.050
site15 CKADS2024 75 160.6670 160.7080 2020 160 16 415.50 0.55 NaN NaN NaN NaN 139.0 6.9 NaN 719 1 0.050
site15 CKADS2024 75 160.7080 160.7500 2020 160 17 413.68 0.42 NaN NaN NaN NaN 134.5 7.0 NaN 721 1 0.050
site15 CKADS2024 75 160.7500 160.7920 2020 160 18 412.69 0.61 NaN NaN NaN NaN 132.6 6.2 NaN 725 1 0.050
site15 CKADS2024 75 160.7920 160.8330 2020 160 19 412.84 0.49 NaN NaN NaN NaN 129.7 6.8 NaN 722 1 0.050
site15 CKADS2024 75 160.8330 160.8750 2020 160 20 412.62 0.35 NaN NaN NaN NaN 133.8 6.6 NaN 721 1 0.050
site15 CKADS2024 75 160.8750 160.9170 2020 160 21 411.88 0.35 NaN NaN NaN NaN 136.2 7.1 NaN 719 1 0.050
site15 CKADS2024 75 160.9170 160.9580 2020 160 22 411.08 0.33 NaN NaN NaN NaN 144.6 8.0 NaN 720 1 0.050
site15 CKADS2024 75 160.9580 161.0000 2020 160 23 410.41 0.41 NaN NaN NaN NaN 155.6 7.0 NaN 721 1 0.050
site15 CKADS2024 75 161.0000 NaN 2020 161 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.0417 NaN 2020 161 01 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.0833 NaN 2020 161 02 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.1250 NaN 2020 161 03 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.1667 NaN 2020 161 04 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.2083 NaN 2020 161 05 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.2500 NaN 2020 161 06 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.2917 NaN 2020 161 07 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.3333 NaN 2020 161 08 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.3750 NaN 2020 161 09 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.4167 NaN 2020 161 10 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.4583 NaN 2020 161 11 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.5000 NaN 2020 161 12 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.5417 NaN 2020 161 13 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
site15 CKADS2024 75 161.5833 NaN 2020 161 14 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 0 NaN
